adset_id,adset_name,budget_spend,campaign_id,campaign_name,clicks,impressions,installs,objective,revenue,status
#23843815641240538,MBL-a-fb-US-audiences-most_active_top5_10prc,0,#23843815641160538,MBL-a-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815641230538,MBL-a-fb-US-audiences-most_active_top5_5prc,0,#23843815641160538,MBL-a-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815641220538,MBL-i-fb-US-audiences-popcore_users,0,#23843815641150538,MBL-i-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815641210538,MBL-i-fb-US-audiences-most_active_top10_10prc,0,#23843815641150538,MBL-i-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815641200538,MBL-i-fb-US-audiences-most_active_top5_10prc,0,#23843815641150538,MBL-i-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815641190538,MBL-i-fb-US-audiences-most_active_top5_5prc,0,#23843815641150538,MBL-i-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815641180538,MBL-a-fb-US-audiences-popcore_users,0,#23843815641160538,MBL-a-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815641170538,MBL-i-fb-US-audiences-most_active_top10_5prc,0,#23843815641150538,MBL-i-fb-US-audiences-experiment_25.10,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815598260538,MBL-a-fb-US_25.10_install_bid,0,#23843815594720538,MBL-a-fb-US-install_bid,0,0,0,APP_INSTALLS,0,ACTIVE
#23843815591190538,MBL-i-FB-US-25.10_install_bid,0,#23843815591010538,MBL-i-fb-US-install_bid,0,0,0,APP_INSTALLS,0,ACTIVE
#23843779511820538,MBL-i-fb-CT 16x9-20191016-A-set1_bestperfiteration-1,0,#23843772734760538,MBL-i-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,ACTIVE
#23843779511720538,MBL-a-fb-CT 16x9-20191016-A-set1_bestperfiteration-1,0,#23843772734790538,MBL-a-fb-CT 2019-42,0,0,0,APP_INSTALLS,0,PAUSED
#23843778916930538,MBL-a-FB-BENELUX-BackupCreatives_16.10,0,,,,,,,,
#23843778916920538,MBL-a-FB-Scan-BackupCreatives_16.10,0,,,,,,,,
#23843778916910538,MBL-i-FB-SL-UKCAAU-BackupCreatives_16.10,32,,,,,,,,
#23843778916900538,MBL-a-FB-EU-T2-BackupCreatives_16.10,0,,,,,,,,
