,adset_id,adset_name,budget_spend,campaign_id,campaign_name,clicks,impressions,installs,objective,revenue,status
1989,#23843819075600644,WB-i-US-dynamic_ad_2,33.0,-1,-1,-1.0,-1.0,,-1,,-1
1990,#23843819075590644,WB-i-US-dynamic_ad_3,33.0,-1,-1,-1.0,-1.0,,-1,,-1
1991,#23843819043100644,WB-i-US-dynamic_ad_1,33.0,-1,-1,-1.0,-1.0,,-1,,-1
1992,#23843795458530644,WB-a-CT-US-U 9x16-20191030-J-caption10sec-1,0.0,#23843790547750644,WB-a-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
1993,#23843795458010644,WB-i-CT-US-U 9x16-20191030-J-caption10sec-1,0.0,#23843790547540644,WB-i-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1994,#23843795436600644,WB-a-CT-US-U 4x5-20191030-J-caption30sec-1,0.0,#23843790547750644,WB-a-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
1995,#23843795435370644,WB-i-CT-US-U 4x5-20191030-J-caption30sec-1,0.0,#23843790547540644,WB-i-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1996,#23843795433370644,WB-a-CT-US-U 9x16-20191030-J-caption30sec-1,0.0,#23843790547750644,WB-a-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
1997,#23843795432970644,WB-i-CT-US-U 9x16-20191030-J-caption30sec-1,0.0,#23843790547540644,WB-i-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
1998,#23843795429790644,WB-a-CT-US-U 4x5-20191030-J-caption10sec-1,0.0,#23843790547750644,WB-a-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
1999,#23843795429580644,WB-i-CT-US-U 4x5-20191030-J-caption10sec-1,0.0,#23843790547540644,WB-i-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2000,#23843795399230644,WB-a-CT-US-U 1x1-20191030-J-caption10sec-1,0.0,#23843790547750644,WB-a-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2001,#23843795399110644,WB-i-CT-US-U 1x1-20191030-J-caption10sec-1,0.0,#23843790547540644,WB-i-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2002,#23843795386260644,WB-a-CT-US-U 1x1-20191030-J-caption30sec-1,0.0,#23843790547750644,WB-a-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2003,#23843795385230644,WB-i-CT-US-U 1x1-20191030-J-caption30sec-1,0.0,#23843790547540644,WB-i-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2004,#23843790874140644,WB-a-CT-US-U 9x16-20191029-J-set1_compare30sec-1,0.0,#23843790547750644,WB-a-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2005,#23843790874010644,WB-i-CT-US-U 9x16-20191029-J-set1_compare30sec-1,0.0,#23843790547540644,WB-i-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2006,#23843790854900644,WB-a-CT-US-U 9x16-20191029-J-set1_caption30sec-1,0.0,#23843790547750644,WB-a-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2007,#23843790854550644,WB-i-CT-US-U 9x16-20191029-J-set1_caption30sec-1,0.0,#23843790547540644,WB-i-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2008,#23843790847240644,WB-a-CT-US-U 9x16-20191029-J-set1_compare10sec-1,0.0,#23843790547750644,WB-a-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2009,#23843790845760644,WB-i-CT-US-U 9x16-20191029-J-set1_compare10sec-1,0.0,#23843790547540644,WB-i-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2010,#23843790550140644,WB-a-CT-US-U 1x1-20191029-K-set1_wreckingsandwich-1,0.0,#23843790547750644,WB-a-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2011,#23843790549150644,WB-i-CT-US-U 1x1-20191029-K-set1_wreckingsandwich-1,0.0,#23843790547540644,WB-i-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2012,#23843790548740644,WB-a-CT-US-U 4x5-20191029-K-set1_wreckingsandwich-1,0.0,#23843790547750644,WB-a-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2013,#23843790548390644,WB-i-CT-US-U 4x5-20191029-K-set1_wreckingsandwich-1,0.0,#23843790547540644,WB-i-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2014,#23843790548080644,WB-a-CT-US-U 9x16-20191029-K-set1_wreckingsandwich-1,0.0,#23843790547750644,WB-a-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2015,#23843790547670644,WB-i-CT-US-U 9x16-20191029-K-set1_wreckingsandwich-1,0.0,#23843790547540644,WB-i-CT 2019-44,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2016,#23843772414280644,WB-a-CT-US-U 1x1-20191025-M-skull-1,0.0,#23843755901230644,WB-a-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2017,#23843772413940644,WB-i-CT-US-U 1x1-20191025-M-skull-1,0.0,#23843755900670644,WB-i-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2018,#23843772408830644,WB-a-CT-US-U 9x16-20191025-M-skull-1,0.0,#23843755901230644,WB-a-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2019,#23843772408380644,WB-i-CT-US-U 9x16-20191025-M-skull-1,0.0,#23843755900670644,WB-i-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2020,#23843772408080644,WB-a-CT-US-U 16x9-20191025-M-skull-1,0.0,#23843755901230644,WB-a-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2021,#23843772407850644,WB-i-CT-US-U 16x9-20191025-M-skull-1,0.0,#23843755900670644,WB-i-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2022,#23843772407400644,WB-a-CT-US-U 4x5-20191025-M-skull-1,0.0,#23843755901230644,WB-a-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2023,#23843772407120644,WB-i-CT-US-U 4x5-20191025-M-skull-1,0.0,#23843755900670644,WB-i-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
2024,#23843763257980644,WB-a-CT-US-U 9x16-20191023-M-pumpkin-1,0.0,#23843755901230644,WB-a-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,PAUSED
2025,#23843763257470644,WB-i-CT-US-U 9x16-20191023-M-pumpkin-1,0.0,#23843755900670644,WB-i-CT 2019-43,0.0,0.0,0.0,APP_INSTALLS,0,ACTIVE
